"W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.5,58.05,-18.8306145430308,-0.724869583668817,2162.1662381817,4.92568581488744,191.323332756169
0.5,58.1,-18.9636756762231,-0.724765019296794,2164.24087797284,4.92981876713457,191.473572061434
0.5,58.15,-19.0935221979694,-0.724944817885652,2166.31550799212,4.93395094002787,191.623696950666
0.5,58.2,-19.2202556432901,-0.725390253075635,2168.39012787549,4.93808233701573,191.773706959882
0.5,58.25,-19.3439539211416,-0.726086725344025,2170.46473726137,4.94221296153417,191.92360162915
0.5,58.3,-19.4646708715173,-0.727023745113715,2172.53933579063,4.94634281700689,192.07338050257
0.5,58.35,-19.5824357325066,-0.728194909300969,2174.61392310661,4.95047190684516,192.22304312826
0.5,58.4,-19.6972525202422,-0.729597869093007,2176.6884988551,4.95460023444795,192.372589058335
0.5,58.45,-19.8090993276514,-0.731234286128599,2178.76306268431,4.95872780320185,192.522017848899
0.5,58.5,-19.9179275517107,-0.733109773561899,2180.83761424485,4.96285461648116,192.671329060022
0.5,58.55,-20.023661063713,-0.735233817715317,2182.91215318976,4.96698067764782,192.820522255726
0.5,58.6,-20.1261953431202,-0.737619675165935,2184.98667917445,4.97110599005146,192.96959700397
0.5,58.65,-20.2253966031353,-0.740284239159662,2187.06119185672,4.97523055702942,193.118552876634
0.5,58.7,-20.3211009454081,-0.743247868209234,2189.13569089673,4.97935438190674,193.267389449501
0.5,58.75,-20.4131135924877,-0.746534168613362,2191.210175957,4.9834774679962,193.416106302241
0.5,58.8,-20.5012082599004,-0.750169721449322,2193.28464670238,4.98759981859827,193.564703018397
0.5,58.85,-20.5851267451098,-0.754183743365788,2195.35910280006,4.99172143700122,193.713179185367
0.5,58.9,-20.6645788280064,-0.758607669275678,2197.43354391954,4.99584232648104,193.861534394388
0.5,58.95,-20.7392425966865,-0.763474643879041,2199.50796973263,4.99996249030151,194.00976824052
0.5,59,-20.8087653325095,-0.768818907914822,2201.58237991343,5.0040819317142,194.15788032263
0.5,59.05,-20.872765108841,-0.774675064261217,2203.6567741383,5.00820065395847,194.305870243377
0.5,59.1,-20.9308332771001,-0.781077208627545,2205.73115208591,5.0123186602615,194.453737609193
0.5,59.15,-20.9825380298654,-0.788057909806196,2207.80551343715,5.01643595383833,194.601482030271
0.5,59.2,-21.0274292414587,-0.795647025538827,2209.87985787516,5.02055253789182,194.749103120545
0.5,59.25,-21.0650447887722,-0.803870342328247,2211.95418508532,5.02466841561269,194.89660049768
0.5,59.3,-21.0949185459466,-0.812748031415764,2214.02849475524,5.02878359017959,195.043973783056
0.5,59.35,-21.1165902226219,-0.82229291916986,2216.10278657471,5.03289806475901,195.191222601757
0.5,59.4,-21.1296171739674,-0.832508578951952,2218.17706023575,5.03701184250542,195.338346582564
0.5,59.45,-21.1335882495623,-0.843387263948522,2220.25131543252,5.04112492656117,195.485345357967
0.5,59.5,-21.128139666937,-0.854907717476413,2222.3255518614,5.04523732005661,195.632218564212
0.5,59.55,-21.1129727958295,-0.867032920076978,2224.39976922089,5.04934902611003,195.778965841506
0.5,59.6,-21.0878736251741,-0.879707862732821,2226.47396721168,5.05346004782775,195.925586835017
0.5,59.65,-21.0527335634537,-0.892857474394009,2228.54814553657,5.05757038830407,196.072081201894
0.5,59.7,-21.0075711035293,-0.906384881441701,2230.62230390049,5.06168005062134,196.218448490469
0.5,59.75,-20.9525537758133,-0.920170238412657,2232.6964420105,5.06578903784997,196.364688538196
0.5,59.8,-20.8880197283859,-0.934070444366611,2234.77055957573,5.06989735304843,196.510800889463
0.5,59.85,-20.8144982157698,-0.947920147333516,2236.84465630744,5.07400499926329,196.65678522077
0.5,59.9,-20.7327282497111,-0.961534536821318,2238.91873191895,5.07811197952925,196.802641198781
0.5,59.95,-20.6436746561355,-0.974714521950852,2240.99278612566,5.08221829686914,196.948368492159
0.5,60,-20.5485407707824,-0.987254970684176,2243.06681864501,5.08632395429395,197.093966772685
0.5,60.05,-20.4487769554645,-0.998956707748195,2245.14082919651,5.09042895480285,197.239435715485
0.5,60.1,-20.3460839744146,-1.00964287565482,2247.21481750168,5.09453330138324,197.384774999081
0.5,60.15,-20.2424099647235,-1.01917996598299,2249.28878328409,5.09863699701071,197.5299843054
0.5,60.2,-20.1399391765237,-1.02750321110894,2251.36272626932,5.10274004464914,197.675063319772
0.5,60.25,-20.0410697393013,-1.03464496855748,2253.43664618492,5.10684244725067,197.820011730916
0.5,60.3,-19.9483763098969,-1.04076316138319,2255.51054276048,5.11094420775576,197.964829230929
0.5,60.35,-19.8645514601685,-1.04616484726589,2257.58441572753,5.11504532909315,198.109515515268
0.5,60.4,-19.7923170038555,-1.05131797191808,2259.6582648196,5.11914581417998,198.254070282738
0.5,60.45,-19.7342932311227,-1.05684314637457,2261.73208977216,5.12324566592174,198.398493235474
0.5,60.5,-19.6928106566106,-1.06347808594514,2263.80589032262,5.12734488721233,198.542784078928
0.5,60.55,-19.6696465451505,-1.072011348974,2265.87966621036,5.13144348093405,198.686942521847
0.5,60.6,-19.6656695865992,-1.08318953282,2267.95341717666,5.13554144995769,198.830968276265
0.5,60.65,-19.6803850627929,-1.09761161302124,2270.02714296471,5.13963879714248,198.974861057481
0.5,60.7,-19.711396546225,-1.11563206716901,2272.10084331964,5.14373552533618,199.118620584043
0.5,60.75,-19.7538468941712,-1.13729644001631,2274.17451798843,5.14783163737506,199.262246577735
0.5,60.8,-19.7999758011699,-1.16232655983591,2276.24816671998,5.15192713608395,199.40573876356
0.5,60.85,-19.8390223832627,-1.19015928342538,2278.32178926504,5.15602202427627,199.549096869722
0.5,60.9,-19.8577634991404,-1.22002785119536,2280.39538537625,5.16011630475404,199.692320627611
0.5,60.95,-19.8419222661207,-1.25106489005538,2282.46895480806,5.16420998030793,199.835409771788
0.5,61,-19.7784133352287,-1.28240419073836,2284.54249731681,5.16830305371724,199.978364039966
