D,pad,shield,freq
0.1,0.6,1.35,39.68
0.1,0.6,1.35,39.69
0.1,0.6,1.35,39.7
0.1,0.6,1.35,39.71
0.1,0.6,1.35,39.72
0.1,0.6,1.35,39.73
0.1,0.6,1.35,39.74
0.1,0.6,1.35,39.75
0.1,0.6,1.35,39.76
0.1,0.6,1.35,39.77
0.1,0.6,1.35,39.78
0.1,0.6,1.35,39.79
0.1,0.6,1.35,39.8
0.1,0.6,1.35,39.81
0.1,0.6,1.35,39.82
0.1,0.6,1.35,39.83
0.1,0.6,1.35,39.84
0.1,0.6,1.35,39.85
0.1,0.6,1.35,39.86
0.1,0.6,1.35,39.87
0.1,0.6,1.35,39.88
0.1,0.6,1.35,39.89
0.1,0.6,1.35,39.9
0.1,0.6,1.35,39.91
0.1,0.6,1.35,39.92
0.1,0.6,1.35,39.93
0.1,0.6,1.35,39.94
0.1,0.6,1.35,39.95
0.1,0.6,1.35,39.96
0.1,0.6,1.35,39.97
0.1,0.6,1.35,39.98
0.1,0.6,1.35,39.99
0.1,0.6,1.35,40
0.1,0.6,1.35,40.01
0.1,0.6,1.35,40.02
0.1,0.6,1.35,40.03
0.1,0.6,1.35,40.04
0.1,0.6,1.35,40.05
0.1,0.6,1.35,40.06
0.1,0.6,1.35,40.07
0.1,0.6,1.35,40.08
0.1,0.6,1.35,40.09
0.1,0.6,1.35,40.1
0.1,0.6,1.35,40.11
0.1,0.6,1.35,40.12
0.1,0.6,1.35,40.13
0.1,0.6,1.35,40.14
0.1,0.6,1.35,40.15
0.1,0.6,1.35,40.16
0.1,0.6,1.35,40.17
0.1,0.6,1.35,40.18
0.1,0.6,1.35,40.19
0.1,0.6,1.35,40.2
0.1,0.6,1.35,40.21
0.1,0.6,1.35,40.22
0.1,0.6,1.35,40.23
0.1,0.6,1.35,40.24
0.1,0.6,1.35,40.25
0.1,0.6,1.35,40.26
0.1,0.6,1.35,40.27
0.1,0.6,1.35,40.28
0.1,0.6,1.35,40.29
0.1,0.6,1.35,40.3
0.1,0.6,1.35,40.31
0.1,0.6,1.35,40.32
0.1,0.6,1.35,40.33
0.1,0.6,1.35,40.34
0.1,0.6,1.35,40.35
0.1,0.6,1.35,40.36
0.1,0.6,1.35,40.37
0.1,0.6,1.35,40.38
0.1,0.6,1.35,40.39
0.1,0.6,1.35,40.4
0.1,0.6,1.35,40.41
0.1,0.6,1.35,40.42
0.1,0.6,1.35,40.43
0.1,0.6,1.35,40.44
0.1,0.6,1.35,40.45
0.1,0.6,1.35,40.46
0.1,0.6,1.35,40.47
0.1,0.6,1.35,40.48
0.1,0.6,1.35,40.49
0.1,0.6,1.35,40.5
0.1,0.6,1.35,40.51
0.1,0.6,1.35,40.52
0.1,0.6,1.35,40.53
0.1,0.6,1.35,40.54
0.1,0.6,1.35,40.55
0.1,0.6,1.35,40.56
0.1,0.6,1.35,40.57
0.1,0.6,1.35,40.58
0.1,0.6,1.35,40.59
0.1,0.6,1.35,40.6
0.1,0.6,1.35,40.61
0.1,0.6,1.35,40.62
0.1,0.6,1.35,40.63
0.1,0.6,1.35,40.64
0.1,0.6,1.35,40.65
0.1,0.6,1.35,40.66
0.1,0.6,1.35,40.67
