D [mm],coax_inside [mm],QCOAX_D [mm],freq
0.1,0.1,0.65,59.85
0.1,0.1,0.65,59.86
0.1,0.1,0.65,59.87
0.1,0.1,0.65,59.88
0.1,0.1,0.65,59.89
0.1,0.1,0.65,59.9
0.1,0.1,0.65,59.91
0.1,0.1,0.65,59.92
0.1,0.1,0.65,59.93
0.1,0.1,0.65,59.94
0.1,0.1,0.65,59.95
0.1,0.1,0.65,59.96
0.1,0.1,0.65,59.97
0.1,0.1,0.65,59.98
0.1,0.1,0.65,59.99
0.1,0.1,0.65,60
0.1,0.1,0.65,60.01
0.1,0.1,0.65,60.02
0.1,0.1,0.65,60.03
0.1,0.1,0.65,60.04
0.1,0.1,0.65,60.05
0.1,0.1,0.65,60.06
0.1,0.1,0.65,60.07
0.1,0.1,0.65,60.08
0.1,0.1,0.65,60.09
0.1,0.1,0.65,60.1
0.1,0.1,0.65,60.11
0.1,0.1,0.65,60.12
0.1,0.1,0.65,60.13
0.1,0.1,0.65,60.14
0.1,0.1,0.65,60.15
0.1,0.1,0.65,60.16
0.1,0.1,0.65,60.17
0.1,0.1,0.65,60.18
0.1,0.1,0.65,60.19
0.1,0.1,0.65,60.2
0.1,0.1,0.65,60.21
0.1,0.1,0.65,60.22
0.1,0.1,0.65,60.23
0.1,0.1,0.65,60.24
0.1,0.1,0.65,60.25
0.1,0.1,0.65,60.26
0.1,0.1,0.65,60.27
0.1,0.1,0.65,60.28
0.1,0.1,0.65,60.29
0.1,0.1,0.65,60.3
0.1,0.1,0.65,60.31
0.1,0.1,0.65,60.32
0.1,0.1,0.65,60.33
0.1,0.1,0.65,60.34
0.1,0.1,0.65,60.35
0.1,0.1,0.65,60.36
0.1,0.1,0.65,60.37
0.1,0.1,0.65,60.38
0.1,0.1,0.65,60.39
0.1,0.1,0.65,60.4
0.1,0.1,0.65,60.41
0.1,0.1,0.65,60.42
0.1,0.1,0.65,60.43
0.1,0.1,0.65,60.44
0.1,0.1,0.65,60.45
0.1,0.1,0.65,60.46
0.1,0.1,0.65,60.47
0.1,0.1,0.65,60.48
0.1,0.1,0.65,60.49
0.1,0.1,0.65,60.5
0.1,0.1,0.65,60.51
0.1,0.1,0.65,60.52
0.1,0.1,0.65,60.53
0.1,0.1,0.65,60.54
0.1,0.1,0.65,60.55
0.1,0.1,0.65,60.56
0.1,0.1,0.65,60.57
0.1,0.1,0.65,60.58
0.1,0.1,0.65,60.59
0.1,0.1,0.65,60.6
0.1,0.1,0.65,60.61
0.1,0.1,0.65,60.62
0.1,0.1,0.65,60.63
0.1,0.1,0.65,60.64
0.1,0.1,0.65,60.65
0.1,0.1,0.65,60.66
0.1,0.1,0.65,60.67
0.1,0.1,0.65,60.68
0.1,0.1,0.65,60.69
0.1,0.1,0.65,60.7
0.1,0.1,0.65,60.71
0.1,0.1,0.65,60.72
0.1,0.1,0.65,60.73
0.1,0.1,0.65,60.74
0.1,0.1,0.65,60.75
0.1,0.1,0.65,60.76
0.1,0.1,0.65,60.77
0.1,0.1,0.65,60.78
0.1,0.1,0.65,60.79
0.1,0.1,0.65,60.8
0.1,0.1,0.65,60.81
0.1,0.1,0.65,60.82
0.1,0.1,0.65,60.83
0.1,0.1,0.65,60.84
0.1,0.1,0.65,60.85
0.1,0.1,0.65,60.86
0.1,0.1,0.65,60.87
0.1,0.1,0.65,60.88
0.1,0.1,0.65,60.89
0.1,0.1,0.65,60.9
0.1,0.1,0.65,60.91
0.1,0.1,0.65,60.92
0.1,0.1,0.65,60.93
0.1,0.1,0.65,60.94
0.1,0.1,0.65,60.95
0.1,0.1,0.65,60.96
0.1,0.1,0.65,60.97
0.1,0.1,0.65,60.98
0.1,0.1,0.65,60.99
0.1,0.1,0.65,61
0.1,0.1,0.65,61.01
0.1,0.1,0.65,61.02
0.1,0.1,0.65,61.03
0.1,0.1,0.65,61.04
0.1,0.1,0.65,61.05
0.1,0.1,0.65,61.06
0.1,0.1,0.65,61.07
0.1,0.1,0.65,61.08
0.1,0.1,0.65,61.09
0.1,0.1,0.65,61.1
0.1,0.1,0.65,61.11
0.1,0.1,0.65,61.12
0.1,0.1,0.65,61.13
0.1,0.1,0.65,61.14
0.1,0.1,0.65,61.15
0.1,0.1,0.65,61.16
0.1,0.1,0.65,61.17
0.1,0.1,0.65,61.18
0.1,0.1,0.65,61.19
0.1,0.1,0.65,61.2
0.1,0.1,0.65,61.21
0.1,0.1,0.65,61.22
0.1,0.1,0.65,61.23
0.1,0.1,0.65,61.24
0.1,0.1,0.65,61.25
0.1,0.1,0.65,61.26
0.1,0.1,0.65,61.27
0.1,0.1,0.65,61.28
0.1,0.1,0.65,61.29
0.1,0.1,0.65,61.3
0.1,0.1,0.65,61.31
0.1,0.1,0.65,61.32
0.1,0.1,0.65,61.33
0.1,0.1,0.65,61.34
0.1,0.1,0.65,61.35
0.1,0.1,0.65,61.36
0.1,0.1,0.65,61.37
0.1,0.1,0.65,61.38
0.1,0.1,0.65,61.39
0.1,0.1,0.65,61.4
0.1,0.1,0.65,61.41
0.1,0.1,0.65,61.42
0.1,0.1,0.65,61.43
0.1,0.1,0.65,61.44
0.1,0.1,0.65,61.45
0.1,0.1,0.65,61.46
0.1,0.1,0.65,61.47
0.1,0.1,0.65,61.48
0.1,0.1,0.65,61.49
0.1,0.1,0.65,61.5
0.1,0.1,0.65,61.51
0.1,0.1,0.65,61.52
0.1,0.1,0.65,61.53
0.1,0.1,0.65,61.54
0.1,0.1,0.65,61.55
0.1,0.1,0.65,61.56
0.1,0.1,0.65,61.57
0.1,0.1,0.65,61.58
0.1,0.1,0.65,61.59
0.1,0.1,0.65,61.6
0.1,0.1,0.65,61.61
0.1,0.1,0.65,61.62
0.1,0.1,0.65,61.63
0.1,0.1,0.65,61.64
0.1,0.1,0.65,61.65
0.1,0.1,0.65,61.66
0.1,0.1,0.65,61.67
0.1,0.1,0.65,61.68
0.1,0.1,0.65,61.69
0.1,0.1,0.65,61.7
0.1,0.1,0.65,61.71
