"S_width [mm]","W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.2,0.5,58,-7.67011024008677,-1.35190282961418,2094.37665642002,6.0094522982691,59.7842610420079
0.2,0.5,58.05,-7.72124507063797,-1.3414452552374,2096.39260869531,6.01475694323352,59.8270566430395
0.2,0.5,58.1,-7.77545122929398,-1.33047181622333,2098.40880860321,6.02005984847653,59.8699099569866
0.2,0.5,58.15,-7.83284268450107,-1.31899570784911,2100.42525526386,6.02536100989498,59.9128207975769
0.2,0.5,58.2,-7.89353668898553,-1.30703092242894,2102.44194779798,6.030660423438,59.9557889780948
0.2,0.5,58.25,-7.95765400284361,-1.29459224542692,2104.45888532679,6.03595808510689,59.9988143113869
0.2,0.5,58.3,-8.02531914454663,-1.28169525141639,2106.47606697209,6.04125399095492,60.0418966098668
0.2,0.5,58.35,-8.09666067235047,-1.26835629976747,2108.49349185626,6.04654813708727,60.0850356855208
0.2,0.5,58.4,-8.17181149889191,-1.25459252994058,2110.51115910224,6.05184051966082,60.1282313499125
0.2,0.5,58.45,-8.25090924209444,-1.24042185625983,2112.5290678336,6.05713113488405,60.1714834141889
0.2,0.5,58.5,-8.33409661590505,-1.22586296203633,2114.54721717451,6.0624199790169,60.2147916890847
0.2,0.5,58.55,-8.42152186484712,-1.21093529290812,2116.56560624977,6.0677070483706,60.2581559849283
0.2,0.5,58.6,-8.51333924691487,-1.19565904925989,2118.58423418484,6.07299233930755,60.3015761116466
0.2,0.5,58.65,-8.60970956996409,-1.18005517758328,2120.60310010582,6.07827584824118,60.3450518787705
0.2,0.5,58.7,-8.7108007874868,-1.16414536063556,2122.62220313949,6.08355757163577,60.3885830954402
0.2,0.5,58.75,-8.8167886605134,-1.14795200625301,2124.64154241333,6.08883750600637,60.4321695704103
0.2,0.5,58.8,-8.9278574933851,-1.13149823467371,2126.6611170555,6.09411564791859,60.4758111120551
0.2,0.5,58.85,-9.04420095231027,-1.1148078642239,2128.68092619488,6.09939199398847,60.5195075283741
0.2,0.5,58.9,-9.16602297699174,-1.0979053952224,2130.7009689611,6.10466654088236,60.563258626997
0.2,0.5,58.95,-9.29353879722889,-1.08081599195819,2132.72124448452,6.10993928531675,60.6070642151894
0.2,0.5,59,-9.42697606830505,-1.06356546259885,2134.74175189625,6.11521022405812,60.6509240998576
0.2,0.5,59.05,-9.56657614122916,-1.04618023689024,2136.76249032817,6.12047935392279,60.6948380875543
0.2,0.5,59.1,-9.71259548658094,-1.02868734151249,2138.78345891296,6.12574667177679,60.7388059844836
0.2,0.5,59.15,-9.86530729390426,-1.01111437296278,2140.80465678409,6.13101217453567,60.7828275965068
0.2,0.5,59.2,-10.0250032724142,-0.993489467842807,2142.82608307584,6.1362758591644,60.8269027291472
0.2,0.5,59.25,-10.1919956833702,-0.975841270437154,2144.84773692333,6.14153772267716,60.8710311875957
0.2,0.5,59.3,-10.3666196399968,-0.958198897479141,2146.86961746248,6.14679776213722,60.9152127767159
0.2,0.5,59.35,-10.5492357175234,-0.940591900012739,2148.89172383012,6.15205597465682,60.9594473010498
0.2,0.5,59.4,-10.7402329240448,-0.923050222272601,2150.91405516389,6.15731235739693,61.0037345648228
0.2,0.5,59.45,-10.9400320928292,-0.90560415751981,2152.93661060235,6.16256690756717,61.0480743719492
0.2,0.5,59.5,-11.1490897688643,-0.888284300788331,2154.95938928494,6.16781962242562,61.0924665260375
0.2,0.5,59.55,-11.3679026774229,-0.87112149851603,2156.98239035198,6.17307049927868,61.1369108303955
0.2,0.5,59.6,-11.5970128809702,-0.85414679505535,2159.00561294475,6.17831953548089,61.1814070880362
0.2,0.5,59.65,-11.8370137538027,-0.837391376081143,2161.02905620543,6.18356672843479,61.2259551016825
0.2,0.5,59.7,-12.0885569326299,-0.820886508937833,2163.05271927717,6.18881207559078,61.2705546737731
0.2,0.5,59.75,-12.3523604375123,-0.804663479993816,2165.07660130406,6.19405557444691,61.3152056064672
0.2,0.5,59.8,-12.6292182032644,-0.788753529098541,2167.10070143115,6.19929722254878,61.3599077016506
