D,d_apad,shield,freq
0.1,0.6,1.15,58.2
0.1,0.6,1.15,58.21
0.1,0.6,1.15,58.22
0.1,0.6,1.15,58.23
0.1,0.6,1.15,58.24
0.1,0.6,1.15,58.25
0.1,0.6,1.15,58.26
0.1,0.6,1.15,58.27
0.1,0.6,1.15,58.28
0.1,0.6,1.15,58.29
0.1,0.6,1.15,58.3
0.1,0.6,1.15,58.31
0.1,0.6,1.15,58.32
0.1,0.6,1.15,58.33
0.1,0.6,1.15,58.34
0.1,0.6,1.15,58.35
0.1,0.6,1.15,58.36
0.1,0.6,1.15,58.37
0.1,0.6,1.15,58.38
0.1,0.6,1.15,58.39
0.1,0.6,1.15,58.4
0.1,0.6,1.15,58.41
0.1,0.6,1.15,58.42
0.1,0.6,1.15,58.43
0.1,0.6,1.15,58.44
0.1,0.6,1.15,58.45
0.1,0.6,1.15,58.46
0.1,0.6,1.15,58.47
0.1,0.6,1.15,58.48
0.1,0.6,1.15,58.49
0.1,0.6,1.15,58.5
0.1,0.6,1.15,58.51
0.1,0.6,1.15,58.52
0.1,0.6,1.15,58.53
0.1,0.6,1.15,58.54
0.1,0.6,1.15,58.55
0.1,0.6,1.15,58.56
0.1,0.6,1.15,58.57
0.1,0.6,1.15,58.58
0.1,0.6,1.15,58.59
0.1,0.6,1.15,58.6
0.1,0.6,1.15,58.61
0.1,0.6,1.15,58.62
0.1,0.6,1.15,58.63
0.1,0.6,1.15,58.64
0.1,0.6,1.15,58.65
0.1,0.6,1.15,58.66
0.1,0.6,1.15,58.67
0.1,0.6,1.15,58.68
0.1,0.6,1.15,58.69
0.1,0.6,1.15,58.7
0.1,0.6,1.15,58.71
0.1,0.6,1.15,58.72
0.1,0.6,1.15,58.73
0.1,0.6,1.15,58.74
0.1,0.6,1.15,58.75
0.1,0.6,1.15,58.76
0.1,0.6,1.15,58.77
0.1,0.6,1.15,58.78
0.1,0.6,1.15,58.79
0.1,0.6,1.15,58.8
0.1,0.6,1.15,58.81
0.1,0.6,1.15,58.82
0.1,0.6,1.15,58.83
0.1,0.6,1.15,58.84
0.1,0.6,1.15,58.85
0.1,0.6,1.15,58.86
0.1,0.6,1.15,58.87
0.1,0.6,1.15,58.88
0.1,0.6,1.15,58.89
0.1,0.6,1.15,58.9
0.1,0.6,1.15,58.91
0.1,0.6,1.15,58.92
0.1,0.6,1.15,58.93
0.1,0.6,1.15,58.94
0.1,0.6,1.15,58.95
0.1,0.6,1.15,58.96
0.1,0.6,1.15,58.97
0.1,0.6,1.15,58.98
0.1,0.6,1.15,58.99
0.1,0.6,1.15,59
0.1,0.6,1.15,59.01
0.1,0.6,1.15,59.02
0.1,0.6,1.15,59.03
0.1,0.6,1.15,59.04
0.1,0.6,1.15,59.05
0.1,0.6,1.15,59.06
0.1,0.6,1.15,59.07
0.1,0.6,1.15,59.08
0.1,0.6,1.15,59.09
0.1,0.6,1.15,59.1
0.1,0.6,1.15,59.11
0.1,0.6,1.15,59.12
0.1,0.6,1.15,59.13
0.1,0.6,1.15,59.14
0.1,0.6,1.15,59.15
0.1,0.6,1.15,59.16
0.1,0.6,1.15,59.17
0.1,0.6,1.15,59.18
0.1,0.6,1.15,59.19
0.1,0.6,1.15,59.2
0.1,0.6,1.15,59.21
0.1,0.6,1.15,59.22
0.1,0.6,1.15,59.23
0.1,0.6,1.15,59.24
0.1,0.6,1.15,59.25
0.1,0.6,1.15,59.26
0.1,0.6,1.15,59.27
0.1,0.6,1.15,59.28
0.1,0.6,1.15,59.29
0.1,0.6,1.15,59.3
0.1,0.6,1.15,59.31
0.1,0.6,1.15,59.32
0.1,0.6,1.15,59.33
0.1,0.6,1.15,59.34
0.1,0.6,1.15,59.35
0.1,0.6,1.15,59.36
0.1,0.6,1.15,59.37
0.1,0.6,1.15,59.38
0.1,0.6,1.15,59.39
0.1,0.6,1.15,59.4
0.1,0.6,1.15,59.41
0.1,0.6,1.15,59.42
0.1,0.6,1.15,59.43
0.1,0.6,1.15,59.44
0.1,0.6,1.15,59.45
