"S_width [mm]","W_line [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","im(Gamma(1:1)) []","re(Gamma(1:1)) []","re(Zo(1:1)) []"
0.2,0.5,39.7,-15.8169361744468,-0.449332989343698,1379.22487804077,3.98466517898656,49.0218746220265
0.2,0.5,39.75,-15.8524265878077,-0.448997633885933,1381.10023952102,3.98999096066057,49.0377194134547
0.2,0.5,39.8,-15.8917427826546,-0.44834783272279,1382.97605945144,3.99531866260696,49.0536318958047
0.2,0.5,39.85,-15.935002902434,-0.447449266657818,1384.85233785155,4.00064827729807,49.069612197659
0.2,0.5,39.9,-15.9823198088055,-0.446347734120758,1386.72907473729,4.00597979714658,49.0856604471294
0.2,0.5,39.95,-16.0338003191066,-0.445076306753555,1388.60627012106,4.01131321450837,49.1017767718518
0.2,0.5,40,-16.0895445020535,-0.443659828966058,1390.48392401167,4.01664852168567,49.1179612989811
0.2,0.5,40.05,-16.1496450349371,-0.442117764232874,1392.36203641434,4.02198571093039,49.1342141551859
0.2,0.5,40.1,-16.2141866244943,-0.440466020262059,1394.24060733068,4.02732477444782,49.150535466643
0.2,0.5,40.15,-16.2832454924287,-0.438718138942732,1396.11963675872,4.03266570440052,49.1669253590324
0.2,0.5,40.2,-16.3568889252646,-0.436886085683447,1397.99912469285,4.03800849291249,49.1833839575318
0.2,0.5,40.25,-16.4351748868779,-0.434980781902314,1399.87907112382,4.04335313207365,49.1999113868113
0.2,0.5,40.3,-16.5181516906807,-0.433012469943073,1401.75947603876,4.04869961394444,49.2165077710282
0.2,0.5,40.35,-16.6058577271172,-0.43099096673288,1403.64033942113,4.05404793056083,49.2331732338213
0.2,0.5,40.4,-16.6983212408664,-0.428925842297724,1405.52166125073,4.05939807393944,49.2499078983059
0.2,0.5,40.45,-16.7955601510174,-0.426826546681958,1407.40344150368,4.06475003608295,49.2667118870679
0.2,0.5,40.5,-16.897581906507,-0.424702500871339,1409.28568015243,4.07010380898578,49.2835853221589
0.2,0.5,40.55,-17.004383368331,-0.422563162214376,1411.1683771657,4.0754593846399,49.3005283250902
0.2,0.5,40.6,-17.1159507095013,-0.420418071505847,1413.05153250852,4.08081675504092,49.3175410168279
0.2,0.5,40.65,-17.2322593234282,-0.418276886690926,1414.93514614217,4.08617591219441,49.3346235177868
0.2,0.5,40.7,-17.3532737314023,-0.416149406666346,1416.81921802422,4.09153684812234,49.3517759478252
0.2,0.5,40.75,-17.4789474801293,-0.414045587646159,1418.70374810848,4.09689955486978,49.3689984262395
0.2,0.5,40.8,-17.6092230208512,-0.411975553863614,1420.58873634497,4.10226402451178,49.3862910717582
0.2,0.5,40.85,-17.7440315624622,-0.409949603894969,1422.47418267996,4.10763024916037,49.4036540025368
0.2,0.5,40.9,-17.8832928921985,-0.407978213548067,1424.36008705591,4.11299822097183,49.4210873361518
0.2,0.5,40.95,-18.0269151589324,-0.406072036013743,1426.24644941149,4.11836793215399,49.4385911895953
0.2,0.5,41,-18.1747946158258,-0.404241899801927,1428.13326968153,4.12373937497379,49.4561656792693
0.3,0.5,37,-13.72520228999,-0.518542720657831,1304.54321241245,3.71904957485853,51.823320112047
0.3,0.5,37.05,-13.6434608178789,-0.52006037913533,1306.43770850472,3.72435406426357,51.8441702174481
